Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:3QaPy1KgI7nu9FJEQUgn6h,"WILDFLOWER","HIT ME HARD AND SOFT","Billie Eilish",2024-05-17,261466,93,false,,1970-01-01T00:00:00Z,"","Darkroom/Interscope Records",0.467,0.247,6,-12.002,0,0.0431,0.612,0.000271,0.17,0.126,148.101,4
spotify:track:6zeE5tKyr8Nu882DQhhSQI,"Dust in the Wind","Point Of Know Return (Expanded Edition)","Kansas",1977,206266,80,false,,1970-01-01T00:00:00Z,"rock clássico,rock progressivo,aor","Epic/Legacy",0.475,0.322,7,-10.687,1,0.0283,0.367,0.00056,0.11,0.387,93.503,4
spotify:track:7fYKKFD0jiSlMDgG9IUs1q,"Down To The Waterline","Dire Straits","Dire Straits",1978-10-07,241906,70,false,,1970-01-01T00:00:00Z,"rock clássico","EMI",0.61,0.683,11,-11.549,0,0.0458,0.148,0.28,0.157,0.61,138.695,4
spotify:track:6Vgn3IEUkWs3d6og029Gtm,"Mustang Preto","Mustang Preto","Teto",2021-10-10,183000,61,true,,1970-01-01T00:00:00Z,"trap brasileiro,trap,trap funk,hip hop brasileiro","Sony Music Entertainment",0.917,0.52,1,-7.138,1,0.129,0.0473,0,0.086,0.564,111.023,4
spotify:track:0qsKefQyXCzaxjHbOcd8IU,"333","333","Matuê",2024-09-09,324000,71,true,,1970-01-01T00:00:00Z,"trap brasileiro,trap,hip hop brasileiro,trap funk","30PRAUM",0.519,0.707,5,-2.26,0,0.183,0.295,0,0.0932,0.603,78.196,4
spotify:track:6dOtVTDdiauQNBQEDOtlAB,"BIRDS OF A FEATHER","HIT ME HARD AND SOFT","Billie Eilish",2024-05-17,210373,94,false,,1970-01-01T00:00:00Z,"","Darkroom/Interscope Records",0.747,0.507,2,-10.171,1,0.0358,0.2,0.0608,0.117,0.438,104.978,4
spotify:track:2plbrEY59IikOBgBGLjaoe,"Die With A Smile","Die With A Smile","Lady Gaga;Bruno Mars",2024-08-16,251667,92,false,,1970-01-01T00:00:00Z,"art pop,pop","Interscope",0.521,0.592,6,-7.777,0,0.0304,0.308,0,0.122,0.535,157.969,3
spotify:track:404zLi8ZW8Y0Uv9ax9hByQ,"MEGA FUNK DISTURBIA","MEGA FUNK DISTURBIA","DJ Bratti SC;DJ Brinquinho SC;Ike Sobera",2024-06-14,181422,40,true,,1970-01-01T00:00:00Z,"funk","DJ Bratti SC",0.751,0.698,7,-8.316,1,0.0512,0.0698,0.118,0.877,0.418,127.038,4
spotify:track:2jOanfmbwcjrcI4MAUcNns,"Reza do Milhão","Sabor Overdose no Yakisoba","Matuê",2024-08-05,184427,52,false,,1970-01-01T00:00:00Z,"trap brasileiro,trap,hip hop brasileiro,trap funk","Sony Music Entertainment",0.522,0.799,3,-3.625,0,0.0725,0.0851,0,0.107,0.218,75.384,4
spotify:track:5DrDpWyvharQkhsloNTN9W,"Clack Bum","Clack Bum","Mc J Mito;DJ Borest",2024-06-28,141230,39,true,,1970-01-01T00:00:00Z,"funk,funk de bh","MK",0.85,0.291,6,-8.595,0,0.224,0.693,0.00000663,0.211,0.725,86.593,3
spotify:track:6H1Bc3VgK2wvKbGNVvaGpU,"MEGA FUNK DENTRO DO PALIO","MEGA FUNK DENTRO DO PALIO","DJ ORTIZ",2021-12-05,216945,5,true,,1970-01-01T00:00:00Z,"","iMusics",0.912,0.492,10,-9.04,0,0.201,0.0994,0,0.123,0.757,124.012,4
spotify:track:2umpEVeKbYxx1Qx2Dy1mcz,"Casa do Tio Wiu","Vagabundo de Luxo","WIU",2024-07-10,182342,56,true,,1970-01-01T00:00:00Z,"trap brasileiro,trap,trap funk,hip hop brasileiro","30PRAUM",0.681,0.714,10,-3.667,0,0.319,0.17,0,0.104,0.691,92.701,4
spotify:track:7qtgeX26AKPAr4vQBu3Poe,"Mega Funk Amor É Mentira","Mega Funk Amor É Mentira","Sanchezz DJ;DJ Bratti SC;DJ Jeeh FDC;DJ Arana",2024-02-20,204477,29,true,,1970-01-01T00:00:00Z,"funk","Mega De Cria",0.655,0.608,0,-5.757,1,0.293,0.0123,0.000226,0.252,0.412,127.97,4
spotify:track:1xWnRVOZiVLkSIJbNRfiy8,"Mega Funk Lost","Mega Funk Lost","DJ Maninho;Dj Dudu;MC Teteu;Mc Gw",2023-10-30,161284,51,true,,1970-01-01T00:00:00Z,"funk,phonk,phonk brasileiro,funk carioca,brega funk,funk bruxaria","S&R Editora",0.956,0.535,2,-9.557,1,0.3,0.222,0.000127,0.0872,0.576,125.002,4
spotify:track:4pOGEJRVOuaa9oyy7qTGf6,"Fui Mlk","Fui Mlk","Nilo;Mc Paiva ZS;DJ Di Marques;Tropa da W&S;FamousKyo",2024-11-22,174110,76,false,,1970-01-01T00:00:00Z,"funk,trap funk,funk consciente,funk carioca","WMD",0.635,0.636,5,-3.72,1,0.309,0.636,0,0.317,0.691,128.528,4
spotify:track:54mhCPc4XuWiv7aaFBqTAk,"Eu Não Ouço Mais Trap","Vagabundo de Luxo","WIU",2024-07-10,196779,56,true,,1970-01-01T00:00:00Z,"trap brasileiro,trap,trap funk,hip hop brasileiro","30PRAUM",0.802,0.42,1,-6.552,1,0.578,0.41,0,0.104,0.463,88.296,3
spotify:track:5uEYRdEIh9Bo4fpjDd4Na9,"Goosebumps - Remix","Goosebumps (Remix)","Travis Scott;HVME",2021-01-15,162802,75,true,,1970-01-01T00:00:00Z,"rap,slap house","Cactus Jack/Epic",0.841,0.593,1,-7.846,1,0.0379,0.418,0,0.124,0.808,124.917,4
spotify:track:5G0kKNRYFCoORvJ2VzwvrY,"MTG PASSA PASSA PRA EU SARRAR","MTG PASSA PASSA PRA EU SARRAR","Mc Livinho;DJ TOPO",2024-06-06,141230,22,true,,1970-01-01T00:00:00Z,"funk,funk carioca","Mc Livinho",0.909,0.546,5,-5.495,1,0.166,0.316,0,0.08,0.927,130.081,4
spotify:track:4KWKrzTYu5e7fcYC7nKUun,"I Feel So Good Today","Imunidade Musical","Charlie Brown Jr.",2005-01-01,248800,54,false,,1970-01-01T00:00:00Z,"rock brasileiro,mpb,pop nacional","EMI Brazil",0.688,0.484,1,-9.254,1,0.0298,0.646,0.0129,0.109,0.447,124.062,4
spotify:track:40IXmplKTcyWPr9HNCik7e,"Filho da Noite","Filho da Noite","Matuê;MC Ryan SP",2024-04-30,236666,58,false,,1970-01-01T00:00:00Z,"trap brasileiro,trap,hip hop brasileiro,trap funk,funk,funk consciente","Sony Music Entertainment",0.755,0.654,5,-4.517,0,0.208,0.318,0,0.0852,0.827,143.884,4
spotify:track:3ua3rqwBNmeGeQfcKnA3bT,"Groupies","Groupies","Doode;Teto;Matuê",2021-09-28,164571,65,false,,1970-01-01T00:00:00Z,"trap brasileiro,trap,trap funk,hip hop brasileiro","Sony Music Entertainment",0.845,0.655,5,-5.137,0,0.0612,0.239,0,0.0974,0.516,139.955,4
spotify:track:4jUZymsR3lkia9wkP0o9cX,"MTG NA IMAGINAÇÃO - TOPO SESSIONS VOL. 1","MTG NA IMAGINAÇÃO (TOPO SESSIONS VOL. 1)","DJ TOPO;Mc Livinho",2024-09-13,144923,73,false,,1970-01-01T00:00:00Z,"funk,funk carioca","DJ TOPO",0.64,0.588,2,-0.766,0,0.177,0.605,0.0000151,0.0979,0.379,162.568,5
spotify:track:65IQA5q0DmL6tmE1HFc3pn,"Mega You Mine","Mega You Mine","Sanchezz DJ;La Porte;DJ Bratti SC",2024-09-04,144848,0,true,,1970-01-01T00:00:00Z,"funk","Jet Music Group",0.822,0.748,0,-8.244,1,0.0937,0.263,0.0000809,0.66,0.452,128.038,4
spotify:track:5emXCWhIK8qnUJeB2CCcIl,"Guala","Vagabundo de Luxo","WIU",2024-07-10,182246,56,true,,1970-01-01T00:00:00Z,"trap brasileiro,trap,trap funk,hip hop brasileiro","30PRAUM",0.756,0.714,7,-5.334,1,0.232,0.443,0,0.0758,0.4,87.822,4
